,Running time,XEntropy,Test performance,Best Validation score,Max epochs,N epochs,Activation function - hidden,Activation function - highway,L2_reg parameter,L1_reg parameter,Batch size,Iterations,Hidden neurons per layer,Hidden Layers,Highway Layers,Learning rate,lr_decay,momentum,Patience,b_T
34,1.00065338612,,0.0,inf,50,25,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.99,0.7,10000,-4
36,0.35280503432,,0.0,inf,50,9,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.9,0.8,10000,-4
38,0.598624285062,,0.0,inf,50,16,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.97,0.8,10000,-4
42,1.76748716831,0.000506670878181,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.99,0.8,10000,-4
44,0.654119149844,,0.0,inf,50,20,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.9,0.9,10000,-4
47,0.946984783808,,0.0,inf,50,31,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.97,0.9,10000,-4
49,1.86154816548,0.000553088513515,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.99,0.9,10000,-4
52,0.47705873251,,0.0,inf,50,13,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.9,0.7,10000,-3
54,0.597555315495,,0.0,inf,50,17,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.97,0.7,10000,-3
56,1.45415251652,,0.0,inf,50,35,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.99,0.7,10000,-3
58,0.291375700633,,0.0,inf,50,8,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.9,0.8,10000,-3
60,0.713871264458,,0.0,inf,50,19,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.97,0.8,10000,-3
62,0.214388648669,,0.0,inf,50,6,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.99,0.8,10000,-3
64,0.452204831441,,0.0,inf,50,14,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.9,0.9,10000,-3
67,1.37573301395,,0.0,inf,50,35,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.97,0.9,10000,-3
69,1.0781791687,,0.0,inf,50,30,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.99,0.9,10000,-3
72,1.88451728423,0.000955873156632,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.9,0.7,10000,-5
75,1.86946559747,0.000524256878819,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.97,0.7,10000,-5
79,1.96501726707,0.000647926715435,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.99,0.7,10000,-5
81,1.22071609894,,0.0,inf,50,35,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.9,0.8,10000,-5
84,1.79751514991,,0.0,inf,50,48,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.97,0.8,10000,-5
87,1.73218761683,0.0011682356119,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.99,0.8,10000,-5
90,1.89555359681,0.0012120733164,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.9,0.9,10000,-5
93,1.75107488632,0.00129531921856,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.97,0.9,10000,-5
96,1.83453641335,0.00107825793089,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.99,0.9,10000,-5
99,1.49007433256,,0.0,inf,50,39,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.9,0.7,10000,-4
102,1.62218928337,,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.97,0.7,10000,-4
105,1.75250989993,0.0034468967546,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.99,0.7,10000,-4
108,1.14682496389,,0.0,inf,50,31,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.9,0.8,10000,-4
111,1.60396198432,,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.97,0.8,10000,-4
114,1.57275491556,0.00065232316305,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.99,0.8,10000,-4
117,1.03651359876,,0.0,inf,50,35,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.9,0.9,10000,-4
119,0.694499969482,,0.0,inf,50,25,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.97,0.9,10000,-4
122,1.5643316865,0.0358851164427,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.99,0.9,10000,-4
124,0.503645050526,,0.0,inf,50,17,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.9,0.7,10000,-3
127,1.28602001667,,0.0,inf,50,35,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.97,0.7,10000,-3
129,1.20054823558,,0.0,inf,50,33,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.99,0.7,10000,-3
132,0.555450065931,,0.0,inf,50,15,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.9,0.8,10000,-3
134,1.36177129745,,0.0,inf,50,37,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.97,0.8,10000,-3
136,0.326790233453,,0.0,inf,50,9,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.99,0.8,10000,-3
139,0.795779852072,,0.0,inf,50,25,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.9,0.9,10000,-3
141,0.812710432212,,0.0,inf,50,29,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.97,0.9,10000,-3
144,1.44351658026,,0.0,inf,50,42,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.15,0.99,0.9,10000,-3
147,1.60967183113,0.000489632779232,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.9,0.7,10000,-5
150,1.62192308505,0.00104148115122,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.97,0.7,10000,-5
153,1.52173483372,0.00111280179977,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.99,0.7,10000,-5
156,1.83455855052,0.000970252361103,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.9,0.8,10000,-5
159,1.80977033377,0.003608479913,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.97,0.8,10000,-5
162,1.7200706164,0.00122886545368,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.99,0.8,10000,-5
165,1.52360455195,0.000527953114877,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.9,0.9,10000,-5
168,1.65850029786,0.0219479434129,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.97,0.9,10000,-5
171,1.79469789664,0.0198014908847,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.99,0.9,10000,-5
174,1.68328411579,0.000783634915853,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.9,0.7,10000,-4
177,1.31691148281,,0.0,inf,50,42,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.97,0.7,10000,-4
180,1.55764249961,0.00105465716499,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.99,0.7,10000,-4
183,1.33233044942,,0.0,inf,50,40,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.9,0.8,10000,-4
186,1.71193885008,0.00586986213047,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.97,0.8,10000,-4
189,1.80506748358,0.00100303157836,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.99,0.8,10000,-4
192,1.80827050209,0.000802631340408,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.9,0.9,10000,-4
195,1.91054870288,0.0253093134154,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.97,0.9,10000,-4
198,1.52615808249,0.0373351360817,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.99,0.9,10000,-4
201,1.03926956654,,0.0,inf,50,29,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.9,0.7,10000,-3
203,1.33149116437,,0.0,inf,50,38,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.97,0.7,10000,-3
206,1.25487110217,,0.0,inf,50,35,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.99,0.7,10000,-3
208,0.316111131509,,0.0,inf,50,11,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.9,0.8,10000,-3
210,1.09033528169,,0.0,inf,50,34,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.97,0.8,10000,-3
213,0.755654784044,,0.0,inf,50,26,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.99,0.8,10000,-3
215,0.797931400935,,0.0,inf,50,21,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.9,0.9,10000,-3
218,1.58477099737,0.0716636117029,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.97,0.9,10000,-3
221,1.72797604799,0.0331786211255,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.1,0.99,0.9,10000,-3
224,1.91384446621,0.000415784167268,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.9,0.7,10000,-5
227,1.76215709845,0.000563487904228,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.97,0.7,10000,-5
230,1.77096606493,0.000520270123877,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.99,0.7,10000,-5
233,1.51473741531,0.000520438154047,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.9,0.8,10000,-5
237,1.5882289807,0.000448637490303,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.97,0.8,10000,-5
240,1.6702114145,0.00122122854817,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.99,0.8,10000,-5
243,1.61123658419,0.000382801202428,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.9,0.9,10000,-5
246,1.89972273509,0.000427348429087,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.97,0.9,10000,-5
249,1.65509488583,0.000575672396741,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.99,0.9,10000,-5
252,1.53277635177,0.000537678219665,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.9,0.7,10000,-4
255,1.6301282843,0.0132306577966,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.97,0.7,10000,-4
258,1.59709313313,0.000742462677328,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.99,0.7,10000,-4
261,1.5809120814,0.0695213021457,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.9,0.8,10000,-4
265,1.56887763341,0.000633511617344,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.97,0.8,10000,-4
268,1.53902761539,0.000683364572282,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.99,0.8,10000,-4
271,1.58194844723,0.0318505037424,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.9,0.9,10000,-4
274,1.51701701482,0.00219564395634,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.97,0.9,10000,-4
277,1.5173306028,0.000773216494057,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.99,0.9,10000,-4
280,1.54739656846,0.0334517527763,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.9,0.7,10000,-3
283,1.60274483363,0.0607394828083,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.97,0.7,10000,-3
286,1.55066198508,0.000911133571059,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.99,0.7,10000,-3
289,1.60588571628,0.0385901234938,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.9,0.8,10000,-3
293,1.5629005154,0.0314243083796,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.97,0.8,10000,-3
296,1.56243723234,0.0194044252503,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.99,0.8,10000,-3
299,1.54736106793,0.0219107055271,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.9,0.9,10000,-3
302,1.5068592151,0.00184258043974,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.97,0.9,10000,-3
305,1.53070998192,0.0434777421336,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.2,0.99,0.9,10000,-3
308,1.58744009733,0.000545354473527,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.9,0.7,10000,-5
311,1.6077335,0.000567753814899,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.97,0.7,10000,-5
314,1.57670768499,0.000854504015087,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.99,0.7,10000,-5
318,1.66725144784,0.000401607535214,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.9,0.8,10000,-5
321,1.58702206612,0.000624323155763,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.97,0.8,10000,-5
324,1.57409266631,0.000766011834208,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.99,0.8,10000,-5
327,1.54240794977,0.000435146514237,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.9,0.9,10000,-5
330,1.55894000133,0.000576436849727,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.97,0.9,10000,-5
332,1.34741188288,0.000852802646465,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.99,0.9,10000,-5
333,1.39134556452,0.000667775102805,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.9,0.7,10000,-4
334,1.41037971576,0.00091570777694,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.97,0.7,10000,-4
335,1.35564676921,0.00122738514918,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.99,0.7,10000,-4
336,1.41231399775,0.00086452266539,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.9,0.8,10000,-4
337,1.33095711867,0.00855833637708,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.97,0.8,10000,-4
338,1.3632423679,0.00142235495175,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.99,0.8,10000,-4
339,1.38472355207,0.00146842792637,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.9,0.9,10000,-4
340,1.34295918544,0.00121785522533,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.97,0.9,10000,-4
341,1.34507886569,0.00091600590723,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.99,0.9,10000,-4
342,1.38197769721,0.0147456509263,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.9,0.7,10000,-3
343,1.37263431946,0.00136074590456,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.97,0.7,10000,-3
344,1.38412811756,0.00137468844239,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.99,0.7,10000,-3
345,1.3721999526,0.09466656691,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.9,0.8,10000,-3
346,1.38081356684,0.0321661711213,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.97,0.8,10000,-3
347,1.34846235116,0.0353926480494,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.99,0.8,10000,-3
348,1.35638048251,0.0269275594744,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.9,0.9,10000,-3
349,1.37104323308,0.0323884359649,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.97,0.9,10000,-3
350,1.37947194974,0.00199715646973,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.15,0.99,0.9,10000,-3
351,1.42782113155,0.000651517277138,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.9,0.7,10000,-5
352,1.35871604681,0.000935112742618,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.97,0.7,10000,-5
353,1.39275645018,0.00135589096519,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.99,0.7,10000,-5
354,1.40023525159,0.000706515577192,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.9,0.8,10000,-5
355,1.39369643529,0.000995741954023,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.97,0.8,10000,-5
356,1.40289693276,0.00156334330419,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.99,0.8,10000,-5
357,1.38899298509,0.000865512284958,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.9,0.9,10000,-5
358,1.40205431779,0.000979618125931,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.97,0.9,10000,-5
359,1.38493943214,0.00162376863336,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,19,0.1,0.99,0.9,10000,-5
