,Running time,XEntropy,Test performance,Best Validation score,Max epochs,N epochs,Activation function - hidden,Activation function - highway,L2_reg parameter,L1_reg parameter,Batch size,Iterations,Hidden neurons per layer,Hidden Layers,Highway Layers,Learning rate,lr_decay,momentum,Patience,b_T
2,1.04481756687,,0.0,inf,50,31,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.9,0.7,10000,-5
5,1.21416809956,,0.0,inf,50,35,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.97,0.7,10000,-5
9,1.66616564989,0.000362622828189,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.99,0.7,10000,-5
12,1.30354196628,,0.0,inf,50,41,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.9,0.8,10000,-5
14,1.08725053072,,0.0,inf,50,32,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.97,0.8,10000,-5
18,1.57351858219,0.0065002210881,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.99,0.8,10000,-5
21,0.955326402187,,0.0,inf,50,30,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.9,0.9,10000,-5
24,0.709539516767,,0.0,inf,50,23,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.97,0.9,10000,-5
27,1.56679186821,0.000452966899522,0.0,inf,50,50,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.99,0.9,10000,-5
29,0.706757903099,,0.0,inf,50,22,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.9,0.7,10000,-4
31,0.919660933812,,0.0,inf,50,28,<function relu at 0x7f4e40328ed8>,<function relu at 0x7f4e40328ed8>,0,0,20,1,50,1,19,0.2,0.97,0.7,10000,-4
