Running time,XEntropy,Test performance,Best Validation score,Max epochs,N epochs,Activation function +AC0- hidden,Activation function +AC0- highway,L2+AF8-reg parameter,L1+AF8-reg parameter,Batch size,Iterations,Hidden neurons per layer,Hidden Layers,Highway Layers,Leaning rate,Rho,Patience    ,b+AF8-T
2.0610571822,0.0173762162,3.4,2.79,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,8600,50,1,9,0.005,0.9,85990,+AC0-5
2.032427001,0.0246181896,3.67,3.17,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,4800,50,1,9,0.005,0.99,47990,+AC0-5
1.2262279312,0.5238862011,11.34,10.99,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4200,50,1,9,0.1,0.5,41990,+AC0-5
1.2142453988,0.9567101032,20.06,19.47,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,2100,50,1,9,0.1,0.9,20990,+AC0-5
1.2159450849,5.0412593937,78.69,79.99,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,2200,50,1,9,0.1,0.99,20990,+AC0-5
1.2231155833,0.213060606,6.35,5.69,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,3700,50,1,9,0.05,0.5,36990,+AC0-5
1.2236364484,0.2603142272,6.6,6.13,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4700,50,1,9,0.05,0.9,46990,+AC0-5
1.2272789002,0.5716030493,12.64,11.58,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4100,50,1,9,0.05,0.99,40990,+AC0-5
1.224118499,0.0318686022,3.64,3.16,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,3100,50,1,9,0.01,0.5,30990,+AC0-5
1.2257954995,0.0225787401,3.35,2.97,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4500,50,1,9,0.01,0.9,44990,+AC0-5
1.2329936663,0.0610673272,4.27,3.75,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4300,50,1,9,0.01,0.99,42990,+AC0-5
1.2265383005,0.0199516525,3.51,2.99,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,3200,50,1,9,0.005,0.5,31990,+AC0-5
1.2264326851,0.0120186782,3.49,3.01,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4600,50,1,9,0.005,0.9,45990,+AC0-5
1.222217981,0.0110998012,3.28,2.97,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,3200,50,1,9,0.005,0.99,31990,+AC0-5
4.4687511683,0.7846420837,14.44,13.64,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,16500,50,1,9,0.1,0.5,164990,+AC0-5
4.4571832498,2.1785577843,30.97,29.77,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,5000,50,1,9,0.1,0.9,49990,+AC0-5
3.5566242496,5.277146874,89.72,89.1,50,40,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,2000,50,1,9,0.1,0.99,19990,+AC0-5
4.4542612513,0.3935968498,8.35,7.74,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,24500,50,1,9,0.05,0.5,244990,+AC0-5
4.44081345,0.4339787552,10.66,10.03,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,22500,50,1,9,0.05,0.9,224990,+AC0-5
4.4887414177,0.6954106552,14.76,14.14,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,21500,50,1,9,0.05,0.99,214990,+AC0-5
4.3740639687,0.1175021257,3.77,3.49,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,17500,50,1,9,0.01,0.5,174990,+AC0-5
4.4045911352,0.0784837602,3.66,3.55,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,18000,50,1,9,0.01,0.9,179990,+AC0-5
4.4406465689,0.1026876366,4.2,3.81,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,22000,50,1,9,0.01,0.99,219990,+AC0-5
4.3782948852,0.0618365136,3.32,3.23,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,11500,50,1,9,0.005,0.5,114990,+AC0-5
4.4539478819,0.0328525699,3.3,3.06,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,20500,50,1,9,0.005,0.9,204990,+AC0-5
4.3995436827,0.0367772383,3.7,3.16,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,24500,50,1,9,0.005,0.99,219990,+AC0-5
2.0486804843,0.6019201474,12.9,12.06,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,9400,50,1,9,0.1,0.5,93990,+AC0-5
2.0611233314,0.7979225782,17,16.35,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,10000,50,1,9,0.1,0.9,99990,+AC0-5
2.042585365,4.1866079438,66.07,66.56,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,4800,50,1,9,0.1,0.99,47990,+AC0-5
2.0475910664,0.3063038787,7.29,6.55,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,9200,50,1,9,0.05,0.5,91990,+AC0-5
2.0463385503,0.3260715603,8.35,7.83,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,6400,50,1,9,0.05,0.9,63990,+AC0-5
2.0497266491,0.4833171161,13.34,12.12,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,5000,50,1,9,0.05,0.99,49990,+AC0-5
2.0363025983,0.0648684186,3.65,3.21,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,6600,50,1,9,0.01,0.5,65990,+AC0-5
2.0454525828,0.0466348734,3.29,3.21,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,9200,50,1,9,0.01,0.9,91990,+AC0-5
2.0339399656,0.0485257587,4.39,3.7,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,3800,50,1,9,0.01,0.99,37990,+AC0-5
2.0319537679,0.0228833908,3.2,3.01,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,6200,50,1,9,0.005,0.5,61990,+AC0-5
2.0433643818,0.0173762162,3.4,2.79,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,8600,50,1,9,0.005,0.9,85990,+AC0-5
2.0467770815,0.0246181896,3.67,3.17,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,4800,50,1,9,0.005,0.99,47990,+AC0-5
1.2136059165,0.5238862011,11.34,10.99,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4200,50,1,9,0.1,0.5,41990,+AC0-5
1.2136840502,0.9567101032,20.06,19.47,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,2100,50,1,9,0.1,0.9,20990,+AC0-5
1.2056646824,5.0412593937,78.69,79.99,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,2200,50,1,9,0.1,0.99,20990,+AC0-5
1.2130335649,0.213060606,6.35,5.69,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,3700,50,1,9,0.05,0.5,36990,+AC0-5
1.2129307032,0.2603142272,6.6,6.13,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4700,50,1,9,0.05,0.9,46990,+AC0-5
1.2257327517,0.5716030493,12.64,11.58,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4100,50,1,9,0.05,0.99,40990,+AC0-5
1.2079162836,0.0318686022,3.64,3.16,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,3100,50,1,9,0.01,0.5,30990,+AC0-5
1.217249167,0.0225787401,3.35,2.97,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4500,50,1,9,0.01,0.9,44990,+AC0-5
1.2029446006,0.0610673272,4.27,3.75,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,4300,50,1,9,0.01,0.99,42990,+AC0-5
1.2123246829,0.0199516525,3.51,2.99,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,500,3200,50,1,9,0.005,0.5,31990,+AC0-5
