result,activation,f_bias,num_layers,initial_lr,lr_factor,lr_min,momentum,batch_size,size
,rel,-1,10,0.9770319718088903,0.9701178130785089,1e-05,0.797885581977544,20,50
,rel,-7,10,0.8232955786691367,0.9229108188060389,1e-05,0.8140074581712786,20,50
0.17235847777943128,rel,-5,10,0.0010784834990754577,0.9711723211324417,1e-05,0.6992877379053154,20,50
0.010868995623898325,rel,-9,10,0.033736240468824896,0.9690063733723308,1e-05,0.8802084165349029,20,50
0.06607485978024003,tanh,-4,10,0.007981059674971747,0.9803013455573545,1e-05,0.9242352938741909,20,50
0.002897913038082377,rel,-9,10,0.6886898530626793,0.9648511248243355,1e-05,0.9834156776205767,20,50
0.0001090662117613504,rel,-7,10,0.2614615418436053,0.9789687826794913,1e-05,0.2507777335531669,20,50
4.815751020656108e-05,rel,-1,10,0.013113031489718098,0.9881938965193033,1e-05,0.9808777413092076,20,50
0.059197454145003575,tanh,-2,10,0.026700866410673124,0.9183087268444305,1e-05,0.97896502680157,20,50
0.0005110740732348874,tanh,-4,10,0.2095565661918378,0.9681333780866062,1e-05,0.46627474427489735,20,50
0.00038366473848459263,rel,-2,10,0.05352941534756734,0.9469803610599785,1e-05,0.9569303552000881,20,50
0.2598122180340191,tanh,-1,10,0.00162411977180775,0.951860154440698,1e-05,0.6232989848732444,20,50
0.2623492791460206,tanh,-1,10,0.0010326505452767146,0.9685963047058119,1e-05,0.5117155930061532,20,50
0.021363849197878156,tanh,-3,10,0.011269952091560407,0.9860691437745631,1e-05,0.8102122666260322,20,50
0.049131604058163546,rel,-10,10,0.008923178082892417,0.9766767110656496,1e-05,0.6249868686738514,20,50
0.09433858077965367,tanh,-10,10,0.02444077453030055,0.9024404796093025,1e-05,0.9770454350401294,20,50
0.00031683104508818113,rel,-3,10,0.027970238852261298,0.9737824123676937,1e-05,0.705119493518119,20,50
0.0006271726249676838,rel,-3,10,0.008109171112184529,0.986713312175255,1e-05,0.7056197262331001,20,50
0.015270557970963031,tanh,-9,10,0.06637901926313776,0.9581734573623298,1e-05,0.8870156483929029,20,50
2.373063517316106e-05,rel,-1,10,0.10606539306905823,0.9729697831196447,1e-05,0.957930261074285,20,50
0.16235757586798477,rel,-5,10,0.0019289205277576878,0.9554705495476109,1e-05,0.9524607317541687,20,50
0.004157944476495326,tanh,-9,10,0.7592252188495547,0.9582109463530655,1e-05,0.9829561826718782,20,50
0.00204612380697331,rel,-9,10,0.04118944171230055,0.9831845121549259,1e-05,0.9857316389712741,20,50
0.10575949095180841,rel,-1,10,0.0010663266476728538,0.9473811561024583,1e-05,0.8935027394686418,20,50
0.007739642148463948,tanh,-4,10,0.033739920898300864,0.9806078036057763,1e-05,0.985318215931677,20,50
0.0008501544208326829,rel,-9,10,0.5268281830983078,0.9639900915451316,1e-05,0.3319809801409368,20,50
0.05208833723554077,tanh,-7,10,0.007380939707719301,0.9857004501256732,1e-05,0.9044799877251563,20,50
0.0068587210318521935,rel,-8,10,0.04243924123321306,0.960801204222251,1e-05,0.23544118128461433,20,50
0.0010828677313526878,tanh,-5,10,0.11185555547590437,0.9809208235651375,1e-05,0.9214385543800325,20,50
0.0015404073582397568,tanh,-5,10,0.30745686059406807,0.9391105839314215,1e-05,0.824374680239367,20,50
0.00042499236422202907,rel,-9,10,0.1252426707992933,0.9811730578649953,1e-05,0.9782290440327499,20,50
0.2532024641878282,tanh,-4,10,0.0023061942899658423,0.9346723011972072,1e-05,0.3549693894847732,20,50
0.0005378219896291561,rel,-10,10,0.16839238516422997,0.9761568574170155,1e-05,0.989119861786225,20,50
0.22191437248435492,tanh,-5,10,0.0046883960826998635,0.9036887365295463,1e-05,0.9588511304523595,20,50
0.1859866650745583,rel,-10,10,0.0034348583657455066,0.9292681156087739,1e-05,0.8747989829432803,20,50
0.08706689947063569,tanh,-4,10,0.00411376893891255,0.9850711298636649,1e-05,0.825635767558068,20,50
0.0003925663877593924,tanh,-7,10,0.347597817184266,0.9830748578734558,1e-05,0.9765814360157055,20,50
0.028318861829468613,tanh,-5,10,0.05131981920162913,0.9482242767273091,1e-05,0.9864403495383437,20,50
0.22835703238115335,tanh,-9,10,0.0013960091338067336,0.9664470967178609,1e-05,0.12740467415176615,20,50
0.00014868737298534253,rel,-3,10,0.015388252230014538,0.9869850826998058,1e-05,0.5377532858434564,20,50
0.030512322334456256,tanh,-3,10,0.035295794892607056,0.9501956036927353,1e-05,0.7743910625289205,20,50
1.3377817868771717e-05,rel,-2,10,0.1586933776926077,0.9873343550908863,1e-05,0.25583012348522827,20,50
0.00429605298467843,rel,-7,10,0.6848931211913406,0.9428433340452045,1e-05,0.5211464930090668,20,50
0.12980965806280922,rel,-2,10,0.0012620773561691373,0.9381466050518089,1e-05,0.7620942418389252,20,50
0.0025493760931874928,rel,-8,10,0.3883415060326402,0.9128057153156195,1e-05,0.8243220279020691,20,50
0.0896786876640205,tanh,-9,10,0.004975857054849214,0.9804967856699156,1e-05,0.9337928741041731,20,50
0.1612181613361463,tanh,-9,10,0.006012151485658622,0.9368075825212605,1e-05,0.7951514723512608,20,50
0.21845394353708253,tanh,-3,10,0.002629878878076667,0.9529785377602544,1e-05,0.8466925436267021,20,50
0.0016831647410436687,tanh,-8,10,0.2838916228520623,0.9685990510650212,1e-05,0.9025485116468556,20,50
0.020507034155118162,tanh,-10,10,0.05629979918000406,0.9586186411754714,1e-05,0.9591408135212081,20,50
0.2206068110753161,rel,-10,10,0.0016947987448469625,0.9483372881948061,1e-05,0.3753466105798413,20,50
0.006254545753856292,tanh,-6,10,0.1835327404316874,0.9445659262549669,1e-05,0.9755296709264286,20,50
0.0006020534447751705,rel,-4,10,0.046687157766256544,0.9605435043963894,1e-05,0.9798598557698105,20,50
0.19424181549965094,tanh,-4,10,0.005205661165858633,0.9250913892539965,1e-05,0.9735079983448865,20,50
0.15991995789157226,tanh,-1,10,0.0018369111058196806,0.9700943639651985,1e-05,0.9880351693558348,20,50
0.0012595725351839415,rel,-8,10,0.4303728808908153,0.9482228847630033,1e-05,0.9561408786204277,20,50
