,Running time,XEntropy,Test performance,Best Validation score,Max epochs,N epochs,Activation function - hidden,Activation function - highway,L2_reg parameter,L1_reg parameter,Batch size,Iterations,Hidden neurons per layer,Hidden Layers,Highway Layers,Learning rate,lr_decay,momentum,Patience,b_T
0,0.424592034022,,0.0,inf,50,31,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.95,0.25,10000,-1
1,0.790467397372,,0.0,inf,50,47,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.97,0.25,10000,-1
3,0.880881218115,0.0587976284308,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.99,0.25,10000,-1
4,0.520500934124,,0.0,inf,50,27,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.95,0.75,10000,-1
6,0.899017512798,0.139373856032,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.97,0.75,10000,-1
7,0.961395001411,0.00108012969618,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.99,0.75,10000,-1
8,0.408934315046,,0.0,inf,50,26,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.95,0.9,10000,-1
10,0.867684634527,0.0730041145095,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.97,0.9,10000,-1
11,0.89818572998,0.0545055900799,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.99,0.9,10000,-1
13,0.708478717009,,0.0,inf,50,37,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.95,0.99,10000,-1
15,0.833466382821,0.0592863773914,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.97,0.99,10000,-1
16,0.82302646637,0.0644956374556,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.99,0.99,10000,-1
17,0.218166919549,,0.0,inf,50,13,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.95,0.25,10000,-2
19,0.40690223376,,0.0,inf,50,25,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.97,0.25,10000,-2
20,0.877352233728,0.00134302099486,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.99,0.25,10000,-2
22,10.1965343157,,0.0,inf,50,20,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.95,0.75,10000,-2
23,0.804678785801,0.0356475634944,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.97,0.75,10000,-2
25,0.846642247836,0.000233312618603,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.99,0.75,10000,-2
26,0.86365288496,,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.95,0.9,10000,-2
28,0.792259550095,0.0179166847742,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.97,0.9,10000,-2
30,0.805842498938,0.0794179718872,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.99,0.9,10000,-2
32,0.944109284878,0.0540775309802,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.95,0.99,10000,-2
33,0.98462400039,0.0231050762719,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.97,0.99,10000,-2
35,1.02455091874,0.111627332988,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.99,0.99,10000,-2
37,0.798472432295,,0.0,inf,50,39,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.95,0.25,10000,-3
39,0.614458564917,,0.0,inf,50,31,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.97,0.25,10000,-3
40,0.479680832227,,0.0,inf,50,25,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.99,0.25,10000,-3
41,0.900183546543,0.00052717177551,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.95,0.75,10000,-3
43,0.960229365031,0.199623845781,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.97,0.75,10000,-3
45,0.791991881529,0.000758484573953,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.99,0.75,10000,-3
46,0.837245901426,0.0712319322405,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.95,0.9,10000,-3
48,1.01311623255,0.0200870452713,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.97,0.9,10000,-3
50,1.05830466747,0.000467556933744,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.99,0.9,10000,-3
51,0.943341318766,0.0658292108377,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.95,0.99,10000,-3
53,0.945739348729,0.0627295385989,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.97,0.99,10000,-3
55,1.07300638358,0.0200875501355,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.2,0.99,0.99,10000,-3
57,1.06409924825,0.0761497623108,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.95,0.25,10000,-1
59,1.03348313173,0.0674488093391,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.97,0.25,10000,-1
61,0.943941732248,0.0122598733012,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.99,0.25,10000,-1
63,0.987464630604,0.0341729225787,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.95,0.75,10000,-1
65,1.03059473435,0.0914369732283,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.97,0.75,10000,-1
66,0.969494616985,0.0490471665284,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.99,0.75,10000,-1
68,1.04526753426,0.104883093699,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.95,0.9,10000,-1
70,0.745153617859,,0.0,inf,50,39,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.97,0.9,10000,-1
71,0.908066515128,0.0398270938406,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.99,0.9,10000,-1
73,0.948823618889,0.096738172234,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.95,0.99,10000,-1
74,0.98277815183,0.0440144578117,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.97,0.99,10000,-1
76,1.01712328593,0.0440973761896,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.99,0.99,10000,-1
77,0.94534308513,0.0639629913936,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.95,0.25,10000,-2
78,1.0339068532,0.0913897136771,0.0,inf,50,50,<function relu at 0x7fea12451ed8>,<function relu at 0x7fea12451ed8>,0,0,20,1,50,1,9,0.15,0.97,0.25,10000,-2
